,test,pred,pred_upper,pred_lower
64214,43000,38083.83398891693,94513.93188848617,-18346.263910652313
64215,110000,37624.11268268684,94054.21058174789,-18805.985216374203
64216,13650,38585.58266014543,95015.68055891764,-17844.515238626773
64217,24000,40010.698453835896,96440.7963447674,-16419.399437095606
64218,6500,38993.09686525508,95423.19475584995,-17437.001025339785
64219,10000,37534.21091247797,93964.30880244749,-18895.88697749156
64220,16000,37770.55321703819,94200.65110641276,-18659.54467233638
64221,73000,36339.79086969845,92769.88875143461,-20090.30701203771
64222,9923,36398.10815599555,92828.20603742564,-20031.98972543455
64223,20000,37476.372654675375,93906.47053066443,-18953.72522131369
64224,107000,36191.143529992245,92621.24140535312,-20238.954345368635
64225,105000,36520.99685175643,92951.09472616382,-19909.101022650968
64226,24000,39862.02046492964,96292.11833852198,-16568.0774086627
64227,33075,40219.89876594409,96649.99663868794,-16210.199106799766
64228,55000,39088.019143095255,95518.11701544165,-17342.07872925113
64229,39000,39942.94458783517,96373.04223601961,-16487.153060349272
64230,25500,40147.31911071448,96577.41675800482,-16282.778536575861
64231,13000,39430.48047025168,95860.5781169053,-16999.61717640193
64232,49000,39213.73628818842,95643.83393432685,-17216.36135795001
64233,48000,38841.387355715604,95271.48500080225,-17588.71028937104
64234,90000,38943.35809391753,95373.45573860056,-17486.739550765502
64235,84000,40364.504054265715,96794.60169694186,-16065.593588410418
64236,43000,41466.72511899282,97896.8227610465,-14963.372523060854
64237,80000,42257.07024352224,98687.16788511007,-14173.027398065591
64238,60000,42830.14749262581,99260.24513355369,-13599.950148302072
64239,40000,43383.67032599269,99813.76796575524,-13046.427313769862
64240,25200,44044.88075248717,100474.97839186876,-12385.216886894406
64241,31000,43264.83495887426,99694.93258489089,-13165.262667142386
64242,31500,42730.28994104183,99160.38756667788,-13699.807684594205
64243,17000,42757.86947822306,99187.96710295821,-13672.22814651209
64244,16000,41908.34089504885,98338.4385195216,-14521.756729423898
64245,30500,41114.87749654695,97544.97512000777,-15315.220126913875
64246,4500,40759.39064628069,97189.48826892921,-15670.706976367837
64247,21000,39913.743808356536,96343.84143074404,-16516.35381403096
64248,31000,39130.365750535435,95560.46337207843,-17299.731871007556
64249,42000,38696.68673691296,95126.78435758929,-17733.41088376337
64250,40000,38763.266041796654,95193.36366219135,-17666.831578598045
64251,26400,38805.382538788224,95235.48015530885,-17624.715077732406
64252,80000,38615.10759152375,95045.20520753614,-17814.990024488645
64253,77000,39057.84521699161,95487.94283260708,-17372.25239862386
64254,50400,40292.174636229836,96722.27225131175,-16137.922978852082
64255,19000,41263.23501545083,97693.33262868585,-15166.862597784188
64256,26400,40669.04418313163,97099.14179611218,-15761.053429848915
64257,19000,40098.86833956128,96528.96595164502,-16331.229272522447
64258,17000,39760.05399106773,96190.15160224556,-16670.043620110097
64259,15000,38961.003045083584,95391.10065598408,-17469.094565816915
64260,21000,38217.037079872796,94647.13468526436,-18213.06052551877
64261,81900,37765.92318976356,94196.02079465392,-18664.174415126792
64262,28350,38059.152471302805,94489.25007578972,-18370.945133184112
64263,14000,38737.524552604744,95167.62215470911,-17692.573049499624
64264,16000,38386.392508234065,94816.49011003539,-18043.70509356726
64265,12000,36998.83165664741,93428.92925687064,-19431.265943575818
64266,30000,36798.22223476782,93228.3198345091,-19631.875364973457
64267,22000,36372.58290623063,92802.6805056278,-20057.514693166544
64268,18000,35610.37952034771,92040.47711396248,-20819.718073267053
64269,18000,35666.74742385025,92096.84501715838,-20763.350169457888
64270,47000,34891.97932621121,91322.07691894172,-21538.118266519312
64271,13500,34617.16675213179,91047.26434075592,-21812.93083649235
64272,61000,34963.54960860019,91393.6471969421,-21466.54797974173
64273,65000,34798.01973972688,91228.11732364818,-21632.077844194435
64274,61950,35399.544383674234,91829.6419671163,-21030.553199767834
64275,14900,37003.20963311385,93433.30721610208,-19426.88794987437
64276,45000,36465.09003427739,92895.18761697397,-19965.007548419184
64277,39000,36135.04919881882,92565.14677849485,-20295.04838085721
64278,125000,36714.194471274015,93144.29205043192,-19715.903107883896
64279,75000,37938.50155941723,94368.59913591546,-18491.596017081007
